id,char,unicode,n_points,n_strokes,stroke
273,鬼,9B3C,82,15,"82,-64,0,-1,-15,3,-10,2,18,-64,0,-2,-10,3,-5,-64,0,-2,-5,3,0,-64,0,-3,-1,-3,7,-64,0,-3,3,7,3,-64,0,7,-1,7,7,-64,0,2,7,-3,13,-64,0,3,7,8,13,-64,0,-7,-14,-10,3,-64,0,-7,-13,-2,-11,-64,0,-2,-11,-8,-8,-64,0,-9,-6,-4,-4,-64,0,-4,-4,-10,3,-64,-64,,,,,,"
274,湀,6E40,38,8,"38,-64,0,-6,-14,-9,-8,-64,0,-7,-11,4,9,-64,0,2,11,7,6,-64,0,0,-14,6,-9,-64,0,3,-12,-7,9,-64,0,-10,7,-5,12,-64,-64,,,,,,"
275,簋gui,,46,7,"46,-64,0,1,-17,0,-11,2,-7,11,-9,12,-14,11,-18,1,-17,-64,0,0,-13,12,-13,-64,0,5,-18,6,-9,-64,0,6,-7,10,0,6,3,6,12,-64,0,7,-6,0,3,-64,-64,,,,,,"
276,郭guo,,42,8,"42,-64,0,-5,-11,-7,-2,-4,3,-6,11,-64,0,-2,-8,-3,-1,-64,0,2,-11,7,-7,-64,0,4,-8,-1,7,-64,0,-2,-5,5,3,-64,0,8,0,4,7,-64,-64,,,,,,"
277,囻guo,,80,9,"80,-64,0,-5,-8,-7,-3,-8,3,-5,7,-1,7,0,2,-1,-3,-5,-8,-64,0,-8,0,-1,0,-64,0,-5,7,-4,14,-1,14,-1,7,-64,0,-4,-14,-6,-14,-6,-12,-5,-11,-4,-11,-3,-12,-3,-14,-5,-14,-64,0,-3,-12,4,-4,5,3,1,11,-64,0,4,6,6,12,6,19,-64,0,8,2,7,7,3,12,-64,-64,,,,,,"
278,馘,9998,68,10,"68,-64,0,-11,-2,2,-2,2,6,-64,0,-6,-4,-6,-6,-1,-6,-1,-4,-64,0,-4,-5,-3,-1,-5,3,-4,7,-1,3,-3,-2,-64,0,-9,-1,-7,2,-4,4,-64,0,-1,3,1,4,-64,0,-8,-9,9,-10,-64,0,9,-14,5,-13,5,14,-64,0,1,14,8,14,-64,-64,,,,,,"
279,亥,4EA5,88,15,"88,-64,0,-1,-6,10,-6,-64,0,0,-6,0,1,9,1,9,-6,-64,0,4,-16,-2,-9,-64,0,4,-16,11,-9,-64,0,2,-14,2,-6,-64,0,7,-13,7,-6,-64,0,2,-11,7,-11,-64,0,2,-9,7,-9,-64,0,3,1,3,6,-64,0,7,1,7,6,-64,0,3,3,7,3,-64,0,-2,4,5,12,13,3,13,3,-64,0,0,6,10,6,-64,-64,,,,,,"
280,害hai,,46,8,"46,-64,0,-10,-5,-2,-5,-2,5,-10,6,-64,0,-6,-5,-6,-2,-11,0,-64,0,-8,-1,-5,4,-64,0,8,-13,2,-13,2,11,-64,0,-4,-10,9,-9,-64,0,-3,13,7,10,-64,-64,,,,,,"
281,函,51FD,40,7,"40,-64,0,-6,-11,6,-12,-64,0,0,-11,0,-5,0,2,1,9,-2,12,-6,15,-64,0,-1,0,-5,6,-64,0,-4,-8,-5,-1,-64,0,-4,-4,0,-5,-64,-64,,,,,,"
282,涵,6DB5,90,15,"90,-64,0,-1,-9,-1,5,-64,0,-5,3,-5,-5,-1,-10,4,-6,4,3,-64,0,-5,-5,4,-4,-64,0,-5,-1,3,-1,-64,0,-10,-9,-5,-9,-64,0,-7,-12,-8,-6,-64,0,3,-10,9,-10,-64,0,6,-13,6,-6,-64,0,-10,5,-6,5,-64,0,-8,3,-7,9,-64,0,3,4,10,4,-64,0,7,1,6,8,-64,0,-4,6,-4,11,2,11,2,6,-64,-64,,,,,,"
283,鶾,9DBE,82,13,"82,-64,0,-3,-8,1,-6,0,-2,-64,0,1,-8,-2,-4,-64,0,-2,-4,0,-2,-64,0,0,-2,0,11,-64,0,-3,1,0,6,-64,0,3,0,0,6,-64,0,1,-12,-5,-8,-5,-8,-4,6,-3,14,-64,0,-3,14,2,14,-64,0,2,14,6,3,5,-5,2,-12,-64,0,-5,-3,-8,0,-64,0,-8,0,-8,3,-4,6,-64,-64,,,,,,"
284,蒿,84BF,98,9,"98,-64,0,1,-13,-2,-10,-4,-7,-2,-4,1,-5,3,-6,3,-9,0,-12,-3,-13,-64,0,0,-6,0,13,-64,0,-4,6,0,11,-64,0,3,6,0,11,-64,0,-3,-16,-7,-11,-8,-6,-8,9,-6,12,-4,15,1,17,4,14,7,11,7,7,7,-4,8,-7,5,-13,-3,-16,-3,-16,-64,0,8,-8,10,-12,9,-16,6,-17,4,-13,-64,0,-11,-15,-12,-10,-11,-7,-13,5,-11,10,-10,17,-64,-64,,,,,,"
285,好,597D,56,9,"56,-64,0,6,-18,6,-7,-64,0,5,-17,0,-14,-3,-10,-64,0,7,-4,2,-8,2,-5,6,-1,8,5,-64,0,5,-1,3,7,-64,0,5,-5,0,3,-64,0,-2,-9,-4,-1,-3,2,-6,7,-64,0,-3,-8,0,-3,-64,-64,,,,,,"
286,禾,79BE,126,22,"126,-64,0,-1,-15,-1,-11,-7,-7,-64,0,-1,-11,5,-9,-64,0,-4,-9,-6,2,-64,0,1,-10,4,0,-64,0,-4,-6,1,-7,-64,0,-5,-2,3,-3,-64,0,-10,2,7,0,-64,0,-6,2,-12,13,-64,0,4,0,11,9,-64,0,-4,4,-3,9,2,9,-64,0,2,3,2,9,-64,0,-3,6,2,5,-64,0,-12,-13,-6,-13,-64,0,-8,-16,-8,-8,-64,0,2,-13,8,-14,-64,0,5,-16,5,-10,-64,0,2,11,8,10,-64,0,5,7,5,15,-64,0,-7,7,-7,13,-64,0,-9,10,-5,10,-64,-64,,,,,,"
287,合,5408,60,8,"60,-64,0,-3,-9,-4,5,2,8,2,12,-4,8,-4,16,-64,0,-7,-7,-1,-5,0,-2,-1,3,-64,0,-6,-6,-6,-2,2,2,-64,0,3,-1,2,-5,7,-5,7,-2,3,-1,-64,0,2,0,9,0,-64,0,5,-1,5,5,6,12,-64,-64,,,,,,"
288,何,4F55,58,10,"58,-64,0,-3,-13,1,-10,0,14,-64,0,-3,-13,-5,-7,-64,0,-5,-7,-7,-3,-5,0,-4,-3,-5,-7,-64,0,1,-8,7,-14,-64,0,-3,-3,0,1,-64,0,0,1,8,-6,-64,0,0,6,-5,11,-64,0,0,6,5,10,-64,-64,,,,,,"
289,河,6CB3,36,7,"36,-64,0,1,-12,-7,-1,-64,0,1,-12,8,-2,-64,0,-3,-6,5,-7,-64,0,-3,2,-2,10,6,8,5,0,-64,0,-3,5,5,3,-64,-64,,,,,,"
290,颌he,,42,7,"42,-64,0,1,-13,2,-5,7,-2,-64,0,2,-5,-1,-1,1,3,3,5,3,14,-64,0,-8,-8,-7,-6,10,-7,-64,0,-5,-8,-5,0,-64,0,7,-10,7,-2,-64,-64,,,,,,"
291,龢,9FA2,24,4,"24,-64,0,-1,-12,5,-3,2,6,7,13,-64,0,1,-2,-6,-6,-4,0,-5,7,-2,12,-64,-64,,,,,,"
292,黑,9ED1,82,14,"82,-64,0,0,-15,-3,-4,-64,0,0,-15,6,-5,-64,0,-2,-9,3,-9,-64,0,-1,-2,3,-2,-64,0,-1,-3,0,3,3,3,4,-5,-64,0,-1,5,3,16,-64,0,3,5,3,16,3,16,-64,0,0,8,6,6,-64,0,7,0,6,5,-64,0,-8,-13,-6,-4,-11,3,-64,0,-4,2,-11,10,-64,0,-4,3,-5,13,-64,-64,,,,,,"
293,恒,6052,88,16,"88,-64,0,-4,-15,-12,-5,-64,0,-4,-15,3,-7,-64,0,-9,-9,1,-9,-64,0,-6,-4,-6,11,-64,0,-3,-4,-3,10,-64,0,-9,-4,-9,11,-64,0,-1,-4,-1,11,-64,0,-9,3,-1,3,-64,0,-9,6,-1,6,-64,0,3,-10,3,-16,-64,0,3,-14,6,-11,6,15,-64,0,12,-10,6,-4,-64,0,4,0,10,10,-64,0,6,3,2,10,-64,-64,,,,,,"
294,弘,5F18,36,6,"36,-64,0,-1,-12,-1,9,-7,14,-64,0,-1,8,4,14,-64,0,-2,-11,-7,-3,-2,0,5,-6,-1,-11,-64,0,-8,8,-1,0,7,8,-64,-64,,,,,,"
295,虹,8679,52,9,"52,-64,0,-3,-4,2,-5,-64,0,0,-5,0,4,-64,0,-3,4,2,3,-64,0,0,-4,-3,0,0,3,-64,0,2,-14,4,13,-64,0,-1,-14,2,-14,-64,0,2,-11,-6,-5,-5,-1,-7,3,3,11,-64,-64,,,,,,"
296,鸿hong,,30,5,"30,-64,0,1,-11,2,-6,0,0,2,7,2,11,-5,18,-5,18,-64,0,1,2,5,-1,-64,0,1,-11,-5,-4,-64,-64,,,,,,"
297,侯,4FAF,104,16,"104,-64,0,-8,1,-5,1,-64,0,-8,1,-9,5,-11,8,-64,0,-5,1,-5,5,-64,0,-5,5,-5,7,-64,0,-9,4,-5,4,-64,0,4,1,4,4,4,4,-64,0,4,1,7,1,-64,0,7,1,7,4,10,7,10,7,-64,0,4,4,7,4,-64,0,5,4,5,6,-64,0,-11,-2,-8,0,-64,0,10,-4,7,0,-64,0,-7,-1,-5,-8,1,-9,7,-5,7,0,-64,0,-5,0,-3,-4,3,-3,4,1,-64,-64,,,,,,"
298,后,540E,66,10,"66,-64,0,3,-17,6,-12,6,-9,3,-5,2,-2,9,3,-64,0,4,-15,4,-9,11,-2,-64,0,7,-5,4,0,4,2,8,6,-64,0,-2,-13,-2,-2,-64,0,4,3,4,8,5,11,-64,0,4,5,6,7,-64,0,-4,-13,0,-13,-64,0,-5,-3,0,-2,-64,-64,,,,,,"
299,厚hou,,50,9,"50,-64,0,0,-12,0,12,-64,0,0,-12,11,-16,-64,0,6,-12,6,-2,-64,0,6,-2,4,2,9,10,-64,0,6,-3,9,2,4,7,4,11,-64,0,6,-11,2,-4,-64,0,6,-11,10,-5,-64,-64,,,,,,"
300,後,5F8C,90,14,"90,-64,0,-3,-15,-9,-10,-64,0,2,-13,-10,-7,-9,-1,-64,0,-6,-12,-3,-7,-4,-1,-7,4,-4,11,-64,0,-12,-1,1,-8,2,-14,-64,0,-7,-8,-5,-5,-64,0,-1,-10,1,-8,-64,0,-2,1,7,-4,-64,0,2,-7,2,3,-64,0,-1,4,0,9,7,7,6,1,-1,4,-64,0,-2,11,-2,15,-64,0,3,11,4,15,-64,0,8,4,10,7,-64,-64,,,,,,"
301,乎,4E4E,72,12,"72,-64,0,-8,-3,5,-8,-64,0,-6,-4,-4,13,-64,0,-7,-14,-6,-10,-2,-10,1,-11,1,-17,-64,0,-4,-10,-4,-5,-64,0,0,-11,0,-6,-64,0,-7,-13,1,-15,-64,0,4,-8,4,3,-5,10,-64,0,-3,-5,3,4,3,3,-64,0,-5,0,1,6,-64,0,-5,1,4,-4,-64,-64,,,,,,"
302,虍,864D,56,8,"56,-64,0,0,-14,-1,-10,4,-2,1,2,-2,8,-64,0,1,-14,4,-9,-2,-2,1,2,4,5,-1,15,-64,0,0,5,4,8,8,15,-64,0,-5,-12,-5,-4,-8,0,-64,0,-10,9,-4,0,-64,0,-5,2,-5,14,-64,-64,,,,,,"
303,呼,547C,34,7,"34,-64,0,-7,-2,9,-2,-64,0,0,-2,0,4,7,12,-64,0,-6,-14,-6,-7,-64,0,-1,-14,-1,-8,-64,0,3,-14,3,-7,-64,-64,,,,,,"
304,狐,72D0,50,8,"50,-64,0,0,-8,2,-6,10,-6,14,-8,13,-2,10,0,0,1,0,1,-64,0,0,-8,0,-4,-64,0,0,-1,-1,1,-64,0,3,-6,2,1,-64,0,7,-6,5,0,-64,0,8,-6,10,0,-64,-64,,,,,,"
305,壺,58FA,34,7,"34,-64,0,-11,0,12,-1,-64,0,-3,-11,0,-4,-64,0,-9,-10,-6,-5,-64,0,4,-10,6,-5,-64,0,0,-1,1,12,-2,18,-64,-64,,,,,,"
306,觳hu,,54,9,"54,-64,0,-3,-15,-3,-9,4,-6,-64,0,-7,-8,-4,-9,-64,0,-1,-8,-4,-4,-10,1,-64,0,-2,-6,3,7,8,10,-64,0,2,6,-6,15,-64,0,-4,-2,-2,3,-5,2,-64,0,-6,0,-4,6,-1,7,-64,-64,,,,,,"
307,虎,864E,76,12,"76,-64,0,-5,-10,0,-14,3,-11,-64,0,0,-14,0,-9,-7,-5,-64,0,0,-9,6,-7,-64,0,-3,-7,-4,4,-1,10,0,11,-64,0,3,-8,4,5,1,11,-64,0,-8,-3,-7,0,6,1,8,-2,-64,0,-8,-3,8,-3,-64,0,-2,10,-3,13,-64,0,2,10,4,13,-64,0,-5,13,5,13,-64,-64,,,,,,"
308,唬,552C,80,12,"80,-64,0,-2,-13,-9,-6,-10,-2,-8,3,-64,0,-3,-13,-4,-3,-2,2,-3,5,-4,6,-64,0,-9,-3,-6,-7,-4,-2,-64,0,-9,1,-7,-2,-4,1,-64,0,-5,2,-4,6,-64,0,-7,1,-8,5,-64,0,1,-7,0,0,-64,0,1,-3,3,0,2,11,-64,0,3,7,7,11,9,17,-64,0,7,5,4,13,-64,-64,,,,,,"
309,户,6237,136,19,"136,-64,0,13,-12,10,-10,5,-9,-64,0,13,-15,13,-12,-64,0,13,-15,10,-13,7,-14,-64,0,7,-15,7,-12,-64,0,10,-13,10,-10,-64,0,5,-11,5,-8,-64,0,9,-10,9,-7,7,-3,7,2,9,6,-64,0,10,-10,12,-6,13,-5,10,-1,11,2,14,6,11,10,12,12,16,11,-64,0,9,-9,6,-6,3,-4,3,-4,-64,0,2,-6,3,-2,-64,0,11,-8,8,-4,-64,0,9,-7,11,-3,-64,0,11,-3,7,1,-64,0,7,-3,10,1,9,5,-64,0,9,2,13,5,-64,0,13,6,5,8,-64,0,4,7,5,10,6,10,-64,-64,,,,,,"
310,祜,795C,68,9,"68,-64,0,-5,-10,5,-10,6,-5,1,-5,-2,-3,-6,-4,-64,0,-6,-12,-6,-9,-64,0,-6,-6,-7,-4,-64,0,-1,-10,-1,-5,3,4,-2,10,2,13,4,10,-64,0,1,-10,1,-6,-64,0,-8,-1,-9,4,-7,6,-3,6,-2,2,-3,-1,-64,0,-8,1,-4,1,-64,-64,,,,,,"
311,化,5316,28,5,"28,-4,4,-64,0,-4,-11,-4,11,-64,0,-4,-7,4,-7,5,6,-4,7,-4,7,-64,0,-4,-1,4,-1,-64,-64,,,,,,"
312,崋hua,,64,11,"64,-64,0,-9,-12,-2,-12,-64,0,-10,-8,-1,-8,-64,0,-5,-8,-5,2,-64,0,-9,-6,-9,-2,-64,0,-2,-6,-2,-3,-64,0,-2,0,8,0,-64,0,2,-5,3,-3,3,3,-64,0,-2,2,-1,10,3,12,7,10,8,2,-64,0,-2,6,7,6,-64,-64,,,,,,"
313,畵hua,,36,6,"36,-64,0,2,-14,2,-10,1,-5,5,3,-64,0,2,-10,6,-3,-64,0,-2,-5,-2,-1,4,6,2,9,2,14,-64,0,-2,6,2,9,-64,-64,,,,,,"
314,淮,6DEE,70,11,"70,-64,0,-4,-14,4,-14,-64,0,0,-17,2,-17,-64,0,0,-17,0,-1,-64,0,5,-8,5,5,0,8,0,11,6,9,6,11,3,16,-64,0,0,-4,5,-4,-64,0,2,-6,2,-2,-64,0,0,-6,-3,-3,-3,0,-64,0,-3,0,5,0,-64,0,-2,-7,-2,-4,-1,-2,-64,-64,,,,,,"
315,洹,6D39,60,9,"60,-64,0,-1,-14,-1,-3,-64,0,0,-10,3,-7,3,-3,-64,0,0,-14,3,-11,-1,-6,-64,0,-2,-2,-2,2,-64,0,0,-2,0,1,-64,0,-3,0,-5,2,5,12,2,16,1,14,-64,0,1,0,4,3,-6,11,-2,16,-1,13,-64,-64,,,,,,"
316,萑zhui,,52,9,"52,-64,0,-6,-5,-4,0,-5,4,-3,9,-64,0,2,-14,-4,-8,-64,0,1,-13,3,-7,-1,-2,1,12,-64,0,-1,-10,7,-4,-64,0,-1,-1,5,-5,-64,0,2,-6,8,4,-64,0,0,-1,5,7,-64,-64,,,,,,"
317,锾,953E,52,8,"52,-64,0,-6,-15,-5,-14,-3,-11,-64,0,-8,-13,-5,-7,-8,-1,-5,6,-64,0,-5,-3,-5,0,-64,0,-1,-10,7,-11,7,-2,-2,-1,-2,-6,3,-8,-64,0,2,2,2,7,-64,0,8,0,8,4,-64,-64,,,,,,"
318,還,9084,76,10,"76,-64,0,10,-12,2,-8,3,-5,10,-1,10,5,6,7,5,14,-64,0,5,-9,7,-7,5,-4,-2,0,-64,0,8,-3,3,4,2,11,-64,0,2,-2,4,1,-64,0,3,-1,0,3,-1,5,-1,9,-3,11,-64,0,9,6,11,11,-64,0,4,-10,5,-14,7,-13,-64,0,3,-11,2,-14,1,-10,-64,-64,,,,,,"
319,豢,8C62,100,17,"100,-64,0,0,-11,-6,-4,-64,0,-2,-9,1,-5,-6,2,-5,8,3,13,-64,0,-4,-6,4,2,-64,0,-5,1,2,7,-64,0,-2,10,-4,15,-64,0,-10,-10,-10,6,-64,0,-13,-7,-10,-4,-64,0,-6,-8,-10,-4,-64,0,-10,0,-13,4,-64,0,-10,0,-7,3,-64,0,6,-13,6,8,-64,0,1,-12,6,-8,6,-8,-64,0,11,-13,6,-8,-64,0,6,-8,3,-2,-64,0,6,-8,9,-2,-64,-64,,,,,,"
320,黄,9EC4,86,12,"86,-64,0,-1,-6,-2,-1,0,6,1,7,2,4,2,4,-64,0,-1,2,7,1,-64,0,-5,-9,-2,10,-64,0,-5,4,-8,14,-64,0,-7,3,-4,10,-64,0,-4,-12,-1,-8,-64,0,-3,-14,-2,-9,-4,-6,-64,0,-1,-6,0,-3,-64,0,3,-4,4,-6,-64,0,4,-6,6,-4,7,-2,7,1,7,3,6,5,5,6,4,4,4,4,-64,-64,,,,,,"
321,潢,6F62,112,17,"112,-64,0,-6,-7,-4,-11,0,-11,3,-11,-64,0,-6,-7,-3,-7,3,-11,-64,0,-3,-11,-4,-9,-2,-8,-64,0,-3,-11,-1,-11,-1,-10,-2,-8,-64,0,-5,4,3,4,-64,0,-1,0,-1,13,-64,0,-1,4,-4,12,-64,0,-9,-12,-8,-4,-13,1,-64,0,-7,1,-12,6,-64,0,-8,2,-8,13,-64,0,-5,-13,-3,-13,-2,-12,-64,0,-1,-14,1,-14,1,-11,-64,0,4,-12,5,-2,11,0,-64,0,5,2,5,14,-64,0,5,2,10,6,-64,-64,,,,,,"
322,回huan,,84,14,"84,-64,0,-5,-9,6,-12,-64,0,5,-17,6,3,2,12,-64,0,1,-14,9,-13,-64,0,-3,-1,-9,9,-64,0,-3,-1,6,-2,-64,0,-2,-8,-2,6,-64,0,-7,-2,-5,5,-64,0,-4,8,6,3,-64,0,0,-6,1,-3,1,5,1,5,-64,0,0,-7,3,-6,1,-3,-64,0,10,-3,11,3,7,11,-64,0,7,0,12,13,-64,-64,,,,,,"
323,悔,6094,34,5,"34,-64,0,8,-13,-4,-10,-9,-5,6,-7,-64,0,-2,-11,-1,-2,7,-3,-64,0,6,2,-9,3,-8,12,6,12,6,6,-3,7,-64,-64,,,,,,"
324,彗,5F57,118,11,"118,-64,0,2,-10,0,-7,2,-6,3,-6,4,-10,2,-10,-64,0,-13,7,-10,-2,-7,-4,-6,-6,-6,-10,-1,-10,4,-10,7,-8,10,-5,8,-5,4,-6,3,-6,0,-6,-2,-6,-3,-4,-1,0,2,1,2,3,2,7,0,9,-4,12,-64,0,0,1,-2,3,-7,6,-9,9,-64,0,-6,-3,-5,1,-64,0,-6,-2,-8,1,-10,6,-64,0,5,6,4,1,3,-3,6,-1,10,2,-64,0,7,-1,4,1,-64,0,0,9,0,12,-3,14,-64,0,0,11,0,15,-1,16,-64,-64,,,,,,"
325,晦,6666,70,13,"70,-64,0,0,-12,-6,-5,-64,0,0,-12,5,-8,-64,0,-3,-7,3,-8,-64,0,-4,-4,5,-4,-64,0,-4,-1,5,-1,-64,0,-4,3,5,3,-64,0,-4,-4,-4,2,-64,0,5,-4,5,3,-64,0,0,3,-4,16,-64,0,1,3,3,6,4,15,-64,0,0,-8,0,2,-64,-64,,,,,,"
326,喙,5599,70,11,"70,-64,0,-2,-13,0,-5,1,-4,-64,0,4,-13,4,-9,1,-4,-64,0,1,-4,1,8,-3,15,-64,0,1,8,3,14,-64,0,-1,1,3,1,-64,0,-2,6,3,6,-64,0,-5,-9,-5,-9,-64,0,-5,-9,8,-10,-64,0,-7,-11,-7,-11,-6,-4,-4,1,-7,6,-4,13,-64,-64,,,,,,"
327,會,6703,50,7,"50,-64,0,-7,-8,-3,-14,-1,-8,-64,0,1,-14,0,-7,-64,0,-1,-8,3,4,-1,7,-1,11,6,6,2,14,-64,0,-2,3,-2,-4,2,-7,5,-3,-5,2,-64,0,1,-9,6,-13,5,-7,-64,-64,,,,,,"
328,誨,8AA8,42,8,"42,-64,0,-6,-12,-3,-6,-4,17,-64,0,-8,-5,-3,0,-64,0,-9,3,-4,8,-64,0,0,-12,5,-6,5,17,-64,0,0,-4,5,1,-64,0,-1,6,5,11,-64,-64,,,,,,"
329,昏,660F,50,7,"50,-64,0,-1,-14,3,0,-3,5,-1,9,3,4,4,8,1,13,-64,0,-1,1,-4,-4,2,-11,6,-5,-64,0,-6,3,6,-6,-64,0,-6,-8,-6,-14,0,-9,-64,0,0,-9,3,-16,4,-11,-64,-64,,,,,,"
330,圂,5702,68,12,"68,-64,0,-9,-4,5,-9,-64,0,-3,-15,-9,-4,-64,0,-5,-11,-2,-7,-64,0,0,-13,-3,-9,-64,0,0,-7,-1,8,-4,13,-64,0,-4,-6,-8,8,-2,17,-64,0,-7,10,6,8,-64,0,2,-5,3,1,7,1,-64,0,6,-6,7,1,-64,0,2,-3,7,-3,-64,-64,,,,,,"
331,火,706B,60,10,"60,-64,0,-3,-7,8,-7,-64,0,-3,-7,-2,-1,7,-1,8,-7,8,-7,-64,0,0,-5,5,-5,-64,0,2,-17,-4,-9,-64,0,2,-17,8,-9,-64,0,-2,-12,6,-12,-64,0,-4,0,-2,7,7,7,8,0,-64,0,-3,3,8,3,-64,-64,,,,,,"
332,或,6216,44,6,"44,-64,0,-1,-14,-1,6,-6,9,-6,15,-64,0,-6,15,2,11,0,18,-64,0,-8,-8,-6,-14,-1,-10,4,-14,7,-10,-64,0,-6,5,-6,-3,3,-9,6,-2,-10,4,-64,-64,,,,,,"
333,祸huo,,48,8,"48,-64,0,3,-14,1,-9,-5,-5,-6,0,-64,0,-1,-8,1,3,-64,0,-2,-3,1,-4,-64,0,-3,6,5,1,-64,0,5,1,5,8,1,11,-3,9,-3,6,-64,0,0,6,5,4,-64,-64,,,,,,"
334,禍,798D,72,13,"72,-64,0,-8,-9,-8,11,-64,0,-8,-9,7,-10,-64,0,7,-10,8,11,-64,0,-8,11,7,11,-64,0,-2,-8,3,-5,-64,0,1,-9,-1,-4,-6,-1,-64,0,-3,-3,-1,6,-64,0,1,-9,1,-9,-64,0,1,-6,3,5,0,11,-64,0,-5,9,3,4,-64,0,-5,1,4,0,-64,-64,,,,,,"
335,濩,6FE9,38,5,"38,-64,0,0,-11,0,-2,-3,1,-3,1,-64,0,-6,-5,-3,-1,-64,0,-6,-5,-7,6,-4,9,7,8,10,2,6,-6,5,2,0,-2,0,-2,-64,-64,,,,,,"
336,獲,7372,54,9,"54,-64,0,-1,-17,0,3,-2,6,-64,0,-1,3,2,8,-64,0,1,5,4,3,5,7,0,11,-64,0,-5,3,-2,10,-64,0,-6,3,-6,8,-4,9,-64,0,1,-16,4,-12,2,-6,-64,0,0,-12,10,-5,-64,-64,,,,,,"
337,霍,970D,48,8,"48,-64,0,-5,-5,6,-6,-64,0,6,-11,1,-10,4,11,4,11,-64,0,5,-1,0,4,-64,0,8,10,0,12,-64,0,-8,2,-6,9,-2,9,-3,0,-3,0,-64,0,-3,3,-7,4,-64,-64,,,,,,"
338,穫,7A6B,80,12,"80,-64,0,5,-14,-1,-13,-1,-9,3,-9,6,-10,-64,0,2,-14,2,-10,-64,0,0,-8,-1,2,5,4,-64,0,0,-7,3,-2,3,2,5,8,-2,5,2,13,-64,0,5,-17,6,-12,-64,0,6,-15,13,-9,-64,0,12,-13,12,-6,-64,0,12,-9,6,-5,-64,0,5,-8,6,-1,-64,0,6,-3,11,2,11,4,-64,-64,,,,,,"
339,镬,956C,48,9,"48,-64,0,-7,-13,-4,-7,-9,14,-64,0,5,-15,2,-7,7,15,-64,0,-4,-7,2,-7,-64,0,-4,-4,3,-2,-64,0,-1,-1,-1,11,-64,0,-6,1,-1,5,-64,0,-9,14,7,15,-64,-64,,,,,,"
340,姬,59EC,78,13,"78,-64,0,-6,-13,0,-20,-64,0,0,-20,3,-15,3,-12,-5,-7,-5,12,-64,0,-2,-17,11,1,-64,0,2,-11,2,-7,-3,-2,-64,0,1,-5,8,4,-64,0,-3,0,2,4,6,13,-64,0,8,-1,9,3,-64,0,-1,10,0,15,-64,0,-8,8,-7,12,-64,0,-8,-13,-9,-2,-64,0,6,-18,6,-12,-64,-64,,,,,,"
341,基,57FA,44,7,"44,-64,0,-1,-17,-7,-10,-64,0,-1,-17,1,-11,-6,-4,-5,1,2,4,7,15,-64,0,4,0,4,5,0,10,-64,0,-4,-7,0,-2,-64,0,-1,-13,-1,-10,5,-4,-64,-64,,,,,,"
342,僟ji,,136,21,"136,-64,0,-2,-15,4,-15,-64,0,-5,-12,5,-12,-64,0,-4,-12,-4,-5,-64,0,5,-12,7,-7,-64,0,1,-12,1,-6,-64,0,0,-5,2,0,-1,7,2,13,-64,0,0,-4,0,1,4,4,-64,0,0,3,3,5,-64,0,-1,6,2,8,-64,0,-7,-5,-4,-1,-7,6,-6,12,-64,0,-6,-4,-6,0,-2,3,-64,0,-5,2,-3,4,-64,0,-6,4,-4,7,-64,0,-7,6,-4,10,-64,0,6,-6,8,-2,7,2,5,6,6,11,-64,0,6,-4,6,-1,9,3,-64,0,7,3,9,6,-64,0,6,5,8,7,-64,0,5,8,9,10,-64,-64,,,,,,"
343,箕,7B95,72,11,"72,-64,0,-5,-9,3,-8,3,-4,-5,0,-4,6,4,11,-64,0,-4,-9,-2,-13,0,-9,2,-13,3,-8,-64,0,3,-5,6,-4,-64,0,-2,-7,0,-4,-64,0,0,-3,4,0,-64,0,3,1,6,5,-64,0,4,3,2,4,-64,0,-5,3,1,5,-64,0,-1,7,-3,11,-3,16,-64,-64,,,,,,"
344,雞,96DE,116,14,"116,-64,0,0,-10,-2,-6,2,-1,3,3,2,6,-64,0,0,-10,3,-6,-64,0,1,-9,-1,-5,-4,-2,-5,1,-64,0,0,-4,-3,0,-4,4,-64,0,1,-2,-2,4,-64,0,2,1,0,5,-64,0,-1,0,1,4,-64,0,-6,2,-9,0,-8,-2,-6,0,-5,7,0,9,5,7,6,1,6,-4,9,-3,8,0,6,2,-64,0,-5,8,-5,16,-64,0,-5,12,-2,9,0,12,2,8,5,12,6,11,4,8,-64,0,0,12,0,16,-64,0,5,12,5,15,-64,-64,,,,,,"
345,及,53CA,92,12,"92,-64,0,1,-15,3,-3,4,2,1,6,3,9,6,5,5,13,-64,0,-1,4,1,0,8,-5,-64,0,1,0,-1,-3,5,-7,8,-5,-64,0,0,-8,5,-10,-64,0,-2,-9,-1,-13,2,-11,-64,0,2,-12,5,-15,8,-14,-64,0,-6,-10,-7,-5,-7,0,-4,3,-2,3,-64,0,-6,-10,-2,-7,-5,1,-64,0,-7,-5,-3,-5,-64,0,-3,-3,-2,0,-4,3,-64,-64,,,,,,"
346,吉,5409,52,9,"52,-64,0,-2,-12,-2,-3,-64,0,-4,-2,2,-2,-64,0,-8,-5,-8,0,-7,10,4,10,5,-5,5,-5,-64,0,-11,-5,-5,-5,-64,0,3,-5,7,-5,-64,0,-7,-1,4,9,-64,0,4,0,-7,8,-64,-64,,,,,,"
