id,char,unicode,n_points,n_strokes,stroke
295,集,96C6,70,9,"70,-64,0,-4,-12,5,-12,-64,0,-3,-12,-3,-7,4,-7,3,-1,-64,0,0,-11,0,-7,-5,-5,-8,0,-64,0,4,-6,-3,-2,-5,2,-64,0,3,-2,-1,1,-3,6,-64,0,3,-2,3,16,-64,0,0,5,2,8,-64,0,6,0,2,5,-64,0,-2,14,3,11,6,13,-64,-64,,,,,,"
296,鳥,9CE5,92,11,"92,-64,0,0,-12,0,-9,2,-8,3,-10,3,-12,0,-12,-64,0,0,-13,-4,-12,-5,-9,-64,0,-4,-12,0,-9,-64,0,3,-10,3,-3,8,3,8,8,-64,0,1,-9,-3,1,1,6,1,11,-64,0,0,-4,1,-2,0,0,-64,0,4,0,1,5,-64,0,3,2,4,9,-64,0,-3,1,-4,4,-1,9,-64,0,-3,6,-6,10,-5,15,-64,0,-4,9,-3,11,-64,-64,,,,,,"
297,鳯,9CEF,170,22,"170,-64,0,-6,-9,-1,-9,-2,-6,-6,-4,-8,0,-6,5,-8,9,-64,0,-5,-9,-3,-4,3,-2,-64,0,-5,-3,0,2,-64,0,-2,-2,-5,0,-64,0,-8,0,-9,5,-64,0,-8,-1,-3,2,-64,0,-3,2,-3,7,-5,9,-3,10,-1,8,-3,7,-64,0,-4,-12,-3,-9,-64,0,-5,-14,-4,-12,-2,-14,-2,-14,-64,0,-6,-14,-2,-14,-64,0,1,1,-1,4,1,8,4,3,1,1,-64,0,-5,-11,-2,-11,-64,0,-4,9,-4,13,-64,0,-2,10,-2,14,-64,0,-1,8,1,11,0,14,-64,0,2,6,4,9,4,12,-64,0,3,4,6,7,6,11,-64,0,1,1,6,2,-64,0,2,-10,1,-5,-64,0,1,-9,5,-9,-64,0,1,-6,5,-6,-64,0,5,-13,6,-2,-64,-64,,,,,,"
298,鶾,9DBE,56,7,"56,-64,0,6,-18,6,-7,-64,0,5,-17,0,-14,-3,-10,-64,0,7,-4,2,-8,2,-5,6,-1,8,5,-64,0,5,-1,3,7,-64,0,5,-5,0,3,-64,0,-2,-9,-4,-1,-3,2,-6,7,-64,0,-3,-8,0,-3,-64,-64,,,,,,"
299,鳴,9CF4,134,17,"134,-64,0,3,-14,-1,-11,0,-9,6,-10,-64,0,0,-15,4,-10,-64,0,-2,-14,-1,-12,-64,0,3,-11,5,-13,-64,0,4,-9,5,-4,4,1,1,5,-64,0,5,-7,6,-8,7,-5,5,-4,-64,0,2,-5,2,-1,0,2,-64,0,2,-2,0,-1,-64,0,1,-9,1,-5,-3,1,0,5,-64,0,1,6,3,8,3,12,-64,0,3,3,5,8,5,11,-64,0,4,2,7,5,8,9,-64,0,-1,4,-2,7,-5,8,-5,11,-64,0,-3,7,-3,10,-64,0,-8,-6,-8,-2,-5,-2,-64,0,-4,-6,-5,-2,-64,0,-8,-5,-5,-5,-64,-64,,,,,,"
300,棄,68C4,116,18,"116,-64,0,-2,-13,2,-13,-64,0,-3,-10,2,-10,-64,0,-2,-13,-3,-10,-64,0,2,-13,2,-10,-64,0,1,-15,2,-14,-64,0,5,-13,4,-10,-64,0,-6,-11,-5,-9,-64,0,-3,-7,3,-7,-64,0,0,-10,0,-4,-64,0,-5,-2,-6,8,5,9,5,-3,-64,0,-7,-3,-3,-3,-64,0,3,-3,6,-3,-64,0,4,0,-6,7,-64,0,-5,0,4,7,-64,0,-6,8,-10,14,-64,0,-9,7,-6,13,-64,0,7,5,7,9,5,12,-64,0,5,7,8,12,-64,-64,,,,,,"
301,冓,5193,80,10,"80,-64,0,1,-15,1,-6,4,-3,7,-6,8,-15,-64,0,11,-13,2,-6,-64,0,-1,-13,6,-6,-64,0,3,-3,1,0,0,5,-64,0,4,-3,5,1,5,4,-64,0,-1,3,3,0,8,3,-64,0,-6,1,-3,-4,-3,3,-64,0,-1,8,1,14,3,6,-64,0,0,11,7,6,-64,0,-3,-14,-3,-10,-6,-7,-64,-64,,,,,,"
302,再,518D,48,6,"48,-64,0,-5,-13,5,-13,-64,0,0,-13,-5,-8,-6,10,-64,0,0,-13,6,-7,3,-1,5,10,-64,0,-1,-4,-1,2,-4,5,-8,7,-64,0,-4,5,4,5,-64,0,-1,0,9,7,-64,-64,,,,,,"
303,爯,722F,52,6,"52,-64,0,0,-5,-5,0,-2,6,-6,11,-64,0,0,-5,4,0,3,7,5,11,-64,0,-7,8,0,0,8,8,-64,0,-2,-17,1,-11,-2,-7,-1,-2,-64,0,1,-12,2,-9,-64,0,-1,-9,2,-7,-64,-64,,,,,,"
304,幼,5E7C,36,3,"36,-64,0,-5,-5,-5,-3,-8,-1,-2,6,-5,10,-7,6,-5,2,-2,0,-5,-5,-64,0,-4,-18,-4,-7,-11,-3,-64,0,-10,-8,-9,-1,-64,-64,,,,,,"
305,you,,38,3,"38,-64,0,-4,-13,-7,-6,-1,1,-64,0,-3,-13,-2,-6,-7,3,-4,7,-1,1,-64,0,5,-13,1,-6,7,3,4,7,1,1,5,-5,5,-13,-64,-64,,,,,,"
306,幽,5E7D,64,5,"64,-64,0,-1,0,-2,4,-7,5,-64,0,-2,2,1,5,5,5,-64,0,-6,-11,-8,-7,-5,-3,-6,0,-8,-3,-4,-8,-6,-11,-64,0,-8,1,-7,8,-3,11,2,11,5,6,6,0,-64,0,3,-11,1,-8,4,-3,2,0,1,-4,4,-8,2,-10,-64,-64,,,,,,"
307,zhuan,,56,6,"56,-64,0,-4,-17,0,-14,4,-18,-64,0,0,-18,1,3,-64,0,0,-14,-4,-9,-4,0,0,3,4,1,4,-10,0,-14,-64,0,-4,-6,3,-9,-64,0,-3,-2,3,-5,-64,0,0,3,-2,7,0,10,3,7,1,3,-64,-64,,,,,,"
308,疐,7590,68,8,"68,-64,0,6,-8,-4,-7,-5,-4,-2,0,5,0,9,-4,6,-8,-64,0,-5,-4,8,-4,-64,0,-1,-18,1,-16,3,-18,-64,0,1,-19,1,0,-64,0,-3,-8,-3,-15,1,-8,4,-16,6,-9,-64,0,1,2,1,10,-64,0,1,10,-2,4,-64,0,-1,6,6,3,-64,-64,,,,,,"
309,爰,7230,46,6,"46,-64,0,2,-14,-6,2,-64,0,-4,-18,-2,-15,-5,-10,-3,-8,-64,0,1,-2,-5,5,-64,0,-3,-2,-1,4,-1,8,-2,10,-64,0,-2,-15,-1,-13,-64,0,-3,-13,-2,-11,-64,-64,,,,,,"
310,受,53D7,68,9,"68,-64,0,-4,-9,0,-4,6,0,-64,0,-7,-7,-2,1,3,3,-64,0,-3,-9,-5,-5,-64,0,1,-3,-1,1,-64,0,2,-2,2,2,-64,0,-2,-15,1,-12,-1,-7,-64,0,-2,-13,1,-9,-64,0,-4,1,-1,5,5,6,-64,0,0,2,-1,7,3,10,4,14,-64,-64,,,,,,"
311,nie,,46,7,"46,-64,0,-2,-3,0,-14,-64,0,-1,-10,4,-6,-64,0,-5,-2,-5,12,-64,0,-5,-2,3,-2,2,11,-64,0,-1,2,-2,7,-64,0,-9,-2,-9,5,-64,0,6,-3,6,2,-64,-64,,,,,,"
312,死,6B7B,70,8,"70,-64,0,2,-11,0,-8,1,-6,3,-8,2,-11,-64,0,1,-10,-7,-11,-8,6,-3,8,-4,10,-8,9,-6,14,-64,0,-7,-7,-2,-3,-3,7,-64,0,1,-3,2,4,-64,0,0,4,6,3,7,10,-64,0,0,4,2,10,-64,0,5,4,1,6,-64,0,2,-1,-1,2,-64,-64,,,,,,"
313,冎,518E,40,6,"40,-64,0,-7,-17,-6,-9,-64,0,-7,-13,1,-8,-64,0,2,-11,2,-4,-64,0,-7,-4,-7,2,-64,0,1,0,2,8,-64,0,0,-8,-7,-1,1,4,-64,-64,,,,,,"
314,gua,,42,5,"42,-64,0,2,-12,2,-5,-64,0,7,-5,8,2,-64,0,8,-14,2,-9,7,-2,1,3,-64,0,-2,-15,-1,-5,-5,3,-4,9,-1,13,-64,0,-4,0,0,8,-64,-64,,,,,,"
315,骨,9AA8,42,5,"42,-64,0,-5,-13,-4,-9,4,-9,5,-14,-64,0,-2,-9,-6,13,5,11,3,3,4,-9,-64,0,-2,-8,3,-4,-64,0,-2,1,-1,8,-64,0,1,4,-1,5,-64,-64,,,,,,"
316,肉,8089,22,2,"22,-64,0,-7,-11,4,-9,5,-5,3,0,0,2,-8,2,-64,0,-3,-11,-3,2,-64,-64,,,,,,"
317,膏,818F,80,10,"80,-64,0,-9,-2,5,-3,-64,0,-10,-2,-9,5,-64,0,5,-3,5,4,-64,0,-11,-6,-3,-12,6,-6,-64,0,-7,-4,-7,-8,2,-8,2,-3,-64,0,-2,-1,-3,4,-5,8,-64,0,-2,-1,0,3,-1,7,-5,11,-64,0,-3,5,-2,7,-64,0,-6,10,-6,15,-4,16,1,15,1,8,-64,0,-6,12,1,12,-64,-64,,,,,,"
318,腹,8179,106,14,"106,-64,0,-6,-5,-1,-5,-64,0,-6,-3,0,-2,-64,0,-5,-5,-4,-3,-4,-3,-64,0,-2,-5,-3,-3,-64,0,-5,-3,-5,3,-6,4,0,4,-2,2,-1,-2,-64,0,-3,4,-4,7,-64,0,-2,4,-1,7,-64,0,-6,6,0,6,-64,0,-1,11,-2,7,-3,8,-3,12,-64,0,-2,8,-5,11,-7,14,-64,0,-2,-12,3,-9,2,-5,-64,0,0,-11,-1,-7,2,-5,-64,0,2,-4,4,2,-64,0,-2,-14,-6,-7,-64,-64,,,,,,"
319,胾,80FE,42,6,"42,-64,0,-6,-12,9,-13,-64,0,6,-18,2,-18,4,6,-64,0,-3,-10,0,-4,-3,4,-64,0,1,8,8,4,-64,0,-3,-9,-6,1,-64,0,-4,-5,-2,0,-64,-64,,,,,,"
320,刀,5200,22,2,"22,-64,0,3,-17,-1,-12,0,-6,3,2,2,6,-4,10,-64,0,0,-5,-6,6,-64,-64,,,,,,"
321,利,5229,60,8,"60,-64,0,-9,-7,-6,-14,-2,-11,-3,9,-64,0,-9,7,-3,0,2,6,-64,0,-6,-7,-2,-3,-64,0,2,-15,-2,-9,-64,0,5,-15,5,-2,2,2,-64,0,4,-10,5,-10,-1,-3,-64,0,1,-11,0,-7,-64,0,1,-3,0,0,-64,-64,,,,,,"
322,初,521D,50,6,"50,-64,0,-8,-8,-1,-16,5,-10,-64,0,-4,-5,-3,1,3,3,-64,0,-2,-9,-7,-4,-64,0,-1,-1,2,-1,1,-6,0,-8,5,-5,-64,0,9,-16,8,3,2,8,-64,0,8,-4,4,0,-64,-64,,,,,,"
323,剛,525B,56,8,"56,-64,0,-4,-13,-3,9,-64,0,4,-14,4,7,-64,0,-3,-10,3,-1,-64,0,3,-9,-2,-1,-64,0,-2,0,4,6,-64,0,3,0,-3,4,-64,0,11,-15,9,-11,9,0,11,4,5,11,-64,0,9,0,6,5,-64,-64,,,,,,"
324,副,526F,64,9,"64,-64,0,-3,-14,2,-9,1,-7,-64,0,2,-15,-3,-9,-2,-7,-64,0,-6,-6,6,-6,-64,0,0,-6,0,14,-64,0,-3,2,0,7,3,3,-64,0,-6,-12,-6,11,-64,0,7,-13,6,-6,6,13,-64,0,-6,9,5,9,-64,0,-6,11,6,11,-64,-64,,,,,,"
325,删,5220,48,7,"48,-64,0,-10,-5,1,-9,-64,0,-10,-1,1,-5,-64,0,-8,-13,-8,3,-64,0,-5,-10,-5,2,-64,0,-3,-11,-2,1,-64,0,6,-16,4,-12,3,5,-2,8,-64,0,3,-2,-2,3,-64,-64,,,,,,"
326,剥,5265,34,4,"34,-64,0,5,-18,3,-13,3,-3,4,2,0,8,-64,0,3,-3,-1,4,-64,0,-1,-14,-3,0,-64,0,-7,-14,-6,-9,-2,-6,-64,-64,,,,,,"
327,刖,5216,82,12,"82,-64,0,-3,-12,-3,-4,-6,-3,-64,0,-8,-5,-3,-10,0,-6,-64,0,-3,-4,-1,-3,-64,0,-6,-3,-6,13,-64,0,-1,-3,-1,3,-64,0,-8,11,-3,11,-4,13,-9,13,-64,0,2,0,2,9,-64,0,0,2,2,3,-64,0,-1,4,2,5,-64,0,-1,7,2,7,-64,0,2,8,8,12,-64,0,5,6,2,13,-64,-64,,,,,,"
328,刜,521C,66,9,"66,-64,0,0,-12,11,-13,-64,0,0,-8,11,-8,-64,0,0,-12,0,-8,-64,0,11,-8,11,-5,-1,-3,-64,0,2,-15,2,-1,-64,0,5,-15,5,-1,-64,0,9,-15,9,0,-64,0,-5,-16,-5,-8,-5,-3,-5,-3,-6,-1,-2,9,-64,0,-5,-3,0,3,-64,-64,,,,,,"
329,qie,,68,9,"68,-64,0,-5,-10,-5,7,-64,0,-9,-12,-5,-10,-1,-15,-64,0,-9,-12,-9,-5,-64,0,-12,-6,-9,-9,-9,-9,-7,-6,-64,0,-1,-15,-1,-8,-64,0,-3,-8,-1,-12,2,-9,-64,0,-10,4,-5,-2,-1,4,-64,0,6,-15,5,-3,0,2,-64,0,5,-8,-1,-3,-64,-64,,,,,,"
330,yi,,54,5,"54,-64,0,-4,-16,-5,-9,-9,-2,-7,1,-5,-2,-64,0,-4,-9,-1,-5,-2,0,-4,1,-4,-1,-64,0,-10,-12,-7,-5,-2,-5,-1,-12,-64,0,5,-8,2,-3,4,3,3,8,-1,13,-64,0,3,1,-1,7,-64,-64,,,,,,"
331,刃,5203,26,3,"26,-64,0,-5,-13,-5,3,-2,8,6,8,-64,0,-5,-1,1,4,4,3,-64,0,-1,-11,1,-1,-64,-64,,,,,,"
332,jie,,40,6,"40,-64,0,-5,-10,-4,11,-64,0,-1,-7,-8,-3,-64,0,-1,-3,-9,1,-64,0,-1,1,-8,5,-64,0,-1,-13,7,1,0,11,-64,0,4,-4,-1,6,-64,-64,,,,,,"
333,耤,8024,104,13,"104,-64,0,-5,-12,-5,3,-64,0,-8,2,-2,-1,-64,0,-5,3,-8,10,-64,0,-5,3,-3,6,-6,12,-64,0,-6,6,-4,7,-64,0,-8,9,-5,9,-64,0,-4,-12,-2,-9,-3,-6,-64,0,-3,-5,-1,-2,-1,0,-2,2,-64,0,-4,-9,-2,-9,2,-4,4,-8,-64,0,-2,-2,-1,-2,2,1,5,0,-64,0,-1,3,1,5,1,9,-64,0,-1,7,6,8,-1,9,-64,0,4,-14,4,-9,8,-4,5,8,-64,-64,,,,,,"
334,角,89D2,52,6,"52,-64,0,-5,-16,-3,-9,-9,1,-3,7,-2,4,-64,0,-5,-16,3,-9,5,-1,2,7,0,4,-64,0,-1,-8,-1,-4,-7,-2,-64,0,-1,-5,4,-1,-64,0,-1,-1,-6,3,-64,0,-1,-1,4,3,-64,-64,,,,,,"
335,解,89E3,134,17,"134,-64,0,-3,-13,-1,-6,-2,0,-4,1,-5,-1,-64,0,-2,-11,-7,-5,-9,-3,-8,1,-7,-1,-64,0,-3,-7,-6,-5,-64,0,-4,-7,-3,-5,-2,-4,-64,0,-5,-4,-7,-3,-64,0,-5,-4,-3,-1,-64,0,-8,-12,-8,-9,-10,-4,-11,-2,-64,0,-8,-8,-7,-7,-64,0,-9,-5,-8,-4,-64,0,-6,-11,-5,-9,-64,0,-1,-12,0,-11,-64,0,3,-12,3,-9,0,-7,-64,0,2,-8,1,-4,0,-2,-64,0,2,-7,0,-5,-64,0,-2,2,-3,16,-64,0,-6,-1,-6,5,-2,7,3,5,3,-1,-64,0,-5,9,-2,11,2,8,-64,-64,,,,,,"
336,竹,7AF9,26,3,"26,-64,0,-7,0,0,-15,7,7,-64,0,-9,-3,-3,-7,-2,1,-64,0,0,4,4,-1,11,1,-64,-64,,,,,,"
337,箙,7B99,90,11,"90,-64,0,-7,-4,6,-4,-64,0,-4,-13,-2,-10,-2,-7,-4,-7,-4,-9,-1,-13,-64,0,-3,-7,-3,5,-64,0,-6,1,-3,5,-1,1,-64,0,1,-15,4,-9,3,-7,1,-7,1,-8,3,-13,-64,0,3,-7,2,4,-64,0,0,1,2,4,4,0,-64,0,-5,6,5,6,-64,0,-8,-10,-6,10,-64,0,-6,8,6,8,-64,0,6,-10,6,8,6,8,-64,-64,,,,,,"
338,箕,7B95,60,8,"60,-64,0,-5,-14,-4,0,4,0,4,-13,-64,0,7,-12,0,-6,-9,8,-64,0,-10,0,-4,6,-64,0,-7,-12,0,-7,3,-1,-64,0,4,0,7,9,-64,0,8,-1,6,3,2,6,-64,0,-3,-15,-3,-12,-64,0,0,-15,0,-11,-64,-64,,,,,,"
339,典,5178,72,11,"72,-64,0,-2,-3,9,-3,-64,0,-3,0,10,0,-64,0,-3,-9,-2,1,-64,0,1,-5,1,2,-64,0,5,-9,5,0,-64,0,-5,-6,-5,0,-3,4,-64,0,-3,-4,-6,1,-7,7,-64,0,10,-1,12,9,-64,0,13,-2,9,5,-64,0,-1,6,7,6,-64,0,-1,10,7,10,-64,-64,,,,,,"
340,奠,5960,60,8,"60,-64,0,-5,-14,5,-14,-64,0,-6,-10,6,-10,-64,0,-6,-10,-3,0,-3,4,1,8,4,5,4,-1,6,-10,-64,0,-5,-5,4,-5,-64,0,-3,-1,4,-2,-64,0,-5,9,6,9,-64,0,-1,-14,-2,-7,-64,0,1,-14,2,-7,-64,-64,,,,,,"
341,工,5DE5,26,3,"26,-64,0,-5,-13,8,-14,-64,0,-5,-3,-5,5,8,5,8,-3,-5,-3,-64,0,2,-14,2,-4,-64,-64,,,,,,"
342,巫,5DEB,38,6,"38,-64,0,-7,-2,6,-2,-64,0,-1,-10,-1,6,-64,0,-7,-6,-6,4,-64,0,-6,-11,3,-10,-64,0,-5,7,4,7,-64,0,6,-9,6,3,-64,-64,,,,,,"
343,甘,7518,30,3,"30,-64,0,-7,-4,7,-4,7,-4,-64,0,-7,-7,-7,2,0,7,7,2,7,-8,7,-8,-64,0,-4,0,4,0,-64,-64,,,,,,"
344,曰,66F0,30,3,"30,-64,0,-1,-13,-1,2,4,5,11,3,11,-14,-64,0,-1,-3,6,-2,11,-4,-64,0,2,-8,7,-8,7,-8,-64,-64,,,,,,"
345,che,,74,11,"74,-64,0,-6,-10,8,-10,8,-10,-64,0,-6,-6,9,-6,-64,0,-3,-11,-3,0,-64,0,-1,-16,-1,-5,-64,0,1,-12,1,-4,-64,0,3,-15,3,-4,-64,0,6,-12,6,-2,-64,0,8,-12,8,-5,-64,0,-6,-11,-6,-6,-64,0,-5,3,8,3,-64,0,-7,-4,-7,6,9,6,9,-3,-64,-64,,,,,,"
346,cao,,74,10,"74,-64,0,-2,-11,-2,-1,-64,0,4,-12,4,-1,-64,0,0,-11,-5,-5,0,-2,-64,0,-5,-10,1,-6,-5,-1,-64,0,-5,-5,1,-6,-64,0,6,-12,2,-6,6,-3,-64,0,2,-11,8,-7,2,-2,-64,0,2,-6,8,-7,-64,0,-4,1,6,1,-64,0,-7,-1,-2,4,5,4,8,-3,-64,-64,,,,,,"
347,乃,4E43,24,2,"24,-64,0,-6,-11,9,-13,-64,0,8,-13,8,-10,5,-6,4,6,1,9,-5,10,-6,10,-64,-64,,,,,,"
348,lu,,64,7,"64,-64,0,-3,7,-3,-6,4,-15,4,-15,-64,0,1,6,1,-7,4,-15,-64,0,-4,8,3,7,7,1,5,-5,4,-15,-64,0,-1,-7,4,-7,-64,0,-3,-2,3,-2,-64,0,-3,2,3,1,-64,0,-7,-5,-7,7,1,12,9,7,9,-5,9,-5,-64,-64,,,,,,"
349,丂,4E02,20,2,"20,-64,0,-7,-6,2,-5,10,-8,-64,0,2,-5,1,2,-7,8,-8,8,-64,-64,,,,,,"
350,ping,,48,6,"48,-64,0,-4,-14,-4,-3,1,-1,7,-3,6,-15,-64,0,-4,-8,7,-8,-64,0,-4,-11,6,-11,-64,0,1,-15,2,-2,-64,0,-5,3,3,3,7,2,-64,0,1,3,3,10,6,13,-64,-64,,,,,,"
351,ning,,66,7,"66,-64,0,-6,-4,-6,-11,-1,-15,4,-10,4,-4,-64,0,-4,-10,-3,-8,-3,-4,-3,-2,1,-2,1,-4,1,-10,1,-10,-64,0,-3,-2,-4,0,-64,0,1,-2,2,0,2,0,-64,0,-6,0,4,0,-64,0,-4,4,2,4,-64,0,0,4,0,9,-4,12,-64,-64,,,,,,"
352,可,53EF,38,4,"38,-64,0,-7,-9,9,-15,-64,0,7,-14,6,-7,5,5,3,11,3,11,-64,0,-4,-5,-4,3,1,4,2,-6,2,-6,-64,0,-4,-2,1,-2,-64,-64,,,,,,"
353,兮,516E,38,6,"38,-64,0,-8,-2,6,-2,-64,0,-8,-14,-4,-14,-64,0,2,-14,7,-14,-64,0,-6,-14,-6,-2,-64,0,4,-14,4,-2,-64,0,-1,-2,-1,12,-64,-64,,,,,,"
354,乎,4E4E,34,5,"34,-64,0,-7,-2,9,-2,-64,0,0,-2,0,4,7,12,-64,0,-6,-14,-6,-7,-64,0,-1,-14,-1,-8,-64,0,3,-14,3,-7,-64,-64,,,,,,"
355,亏,4E8F,40,4,"40,-64,0,-7,-11,-4,-11,2,-12,-64,0,-7,-4,2,-6,-64,0,-2,-11,-3,0,-6,9,-64,0,2,-16,2,-9,6,-9,6,-4,1,-2,0,5,-3,13,-64,-64,,,,,,"
356,粤,7CA4,48,7,"48,-64,0,2,-14,-4,-10,-4,-2,-64,0,2,-14,7,-10,7,-4,-64,0,3,-11,-2,-4,-64,0,-1,-10,5,-5,-64,0,-3,-8,5,-9,-64,0,-1,-2,5,-2,-64,0,2,-2,1,11,-64,-64,,,,,,"
357,旨,65E8,38,4,"38,-64,0,1,-14,-2,-6,1,-3,-1,5,-64,0,0,-11,6,-7,-64,0,-6,2,-6,8,-2,10,5,10,7,8,6,1,-64,0,-6,5,7,5,-64,-64,,,,,,"
358,喜,559C,100,12,"100,-64,0,-2,-15,-2,-11,4,-11,4,-17,-64,0,1,-16,1,-7,-64,0,-3,-7,-3,-2,-1,-1,4,-1,6,-3,6,-7,-3,-7,-64,0,-1,-4,3,-4,-64,0,0,-1,-1,3,4,3,3,-1,3,-1,-64,0,-4,6,5,5,-64,0,-4,3,-4,9,3,9,5,7,5,1,-64,0,-6,-10,-6,-7,-64,0,-5,0,-5,2,-64,0,6,-15,6,-13,-64,0,8,-7,8,-4,-64,0,7,-3,7,0,-64,-64,,,,,,"
359,壴,58F4,74,8,"74,-64,0,0,-15,0,-1,-64,0,-3,-15,-3,-11,0,-10,2,-11,2,-15,-64,0,-3,-9,0,-7,2,-10,-64,0,-4,-2,-4,2,-2,4,3,4,5,1,4,-2,-4,-2,-64,0,-2,0,-2,2,1,2,1,0,-2,0,-64,0,-2,4,-3,10,-64,0,1,4,2,10,-64,0,-5,10,4,10,-64,-64,,,,,,"
360,彭,5F6D,76,10,"76,-64,0,2,-14,2,-3,-64,0,-3,-13,-3,-7,6,-7,6,-13,6,-13,-64,0,-3,-4,-2,3,3,4,6,-2,4,-4,-3,-4,-64,0,0,0,3,0,-64,0,0,3,-2,8,-64,0,1,4,3,8,-64,0,-4,8,4,8,-64,0,8,-7,12,-4,-64,0,8,-2,10,3,-64,0,5,4,7,7,-64,-64,,,,,,"
361,鼓,9F13,98,11,"98,-64,0,-3,-15,-3,-8,-64,0,-6,-14,-6,-11,-3,-10,-1,-11,-1,-15,-64,0,-7,-8,-7,-3,-4,-2,-1,-2,0,-4,0,-8,-7,-8,-64,0,-5,-5,-1,-5,-64,0,-4,-2,-5,3,-5,3,-64,0,-2,-2,-1,3,-64,0,-9,3,2,3,-64,0,3,-5,2,-8,4,-11,5,-7,3,-5,-64,0,3,-5,3,3,-64,0,3,-3,7,-3,7,1,3,8,-64,0,3,-1,7,4,8,14,-64,-64,,,,,,"
362,豆,8C46,52,6,"52,-64,0,1,-13,1,-2,6,0,12,-1,13,-3,13,-14,13,-14,-64,0,1,-11,7,-10,13,-11,-64,0,1,-7,13,-7,-64,0,5,-1,5,9,5,9,-64,0,10,-1,10,9,-64,0,-1,9,15,9,-64,-64,,,,,,"
363,juan,,130,19,"130,-64,0,-1,-6,5,-6,-64,0,-1,-7,-1,-3,2,-2,5,-4,4,-7,-64,0,1,-2,0,1,-64,0,2,-3,4,1,-64,0,-1,1,5,1,-64,0,-2,-2,-3,1,-3,6,-64,0,-2,1,-7,7,-64,0,5,-3,7,0,5,4,5,4,-64,0,4,-1,10,7,-64,0,3,3,-1,6,-64,0,2,4,2,13,-64,0,4,6,-1,12,-1,12,-64,0,0,7,4,11,-64,0,-2,-15,-2,-13,-64,0,-1,-12,-1,-9,-64,0,1,-14,2,-13,-64,0,2,-11,2,-9,-64,0,4,-16,4,-12,-64,0,5,-11,5,-8,-64,-64,,,,,,"
364,deng,,72,9,"72,-64,0,2,-13,2,-5,5,-3,8,-3,10,-5,10,-13,-64,0,2,-8,10,-8,-64,0,4,-4,2,10,-64,0,7,-3,8,10,-64,0,-2,11,12,10,-64,0,2,-6,-2,0,-2,9,-64,0,-1,-8,-1,-3,1,0,-64,0,10,-5,11,-2,9,2,-64,0,9,-3,12,2,12,8,-64,-64,,,,,,"
365,豐,8C50,116,16,"116,-64,0,-1,-5,7,-5,-64,0,3,-13,3,-1,-64,0,-1,-14,-1,-9,3,-8,7,-9,6,-14,-64,0,0,-17,2,-17,-64,0,0,-15,2,-15,-64,0,1,-17,1,-12,-64,0,0,-12,1,-12,-64,0,3,-17,6,-17,-64,0,3,-15,5,-15,-64,0,4,-17,4,-12,-64,0,3,-12,5,-12,-64,0,-1,-1,-1,4,7,4,7,-2,-1,-1,-1,-1,-64,0,1,1,5,1,-64,0,2,4,1,10,1,10,-64,0,4,4,5,10,-64,0,-3,9,3,11,9,9,-64,-64,,,,,,"
366,虍,864D,50,6,"50,-64,0,0,-8,2,-6,10,-6,14,-8,13,-2,10,0,0,1,0,1,-64,0,0,-8,0,-4,-64,0,0,-1,-1,1,-64,0,3,-6,2,1,-64,0,7,-6,5,0,-64,0,8,-6,10,0,-64,-64,,,,,,"
367,虘,8658,70,10,"70,-64,0,0,-15,0,-9,-64,0,9,-16,9,-8,6,-5,-1,-2,-64,0,-2,-6,-1,1,-64,0,9,-13,4,-10,-64,0,0,-13,7,-7,-64,0,5,-5,4,-1,3,10,-64,0,6,-5,9,-1,9,10,-64,0,4,0,9,0,-64,0,3,5,9,5,-64,0,-1,10,12,10,-64,-64,,,,,,"
368,虎,864E,136,17,"136,-64,0,13,-12,10,-10,5,-9,-64,0,13,-15,13,-12,-64,0,13,-15,10,-13,7,-14,-64,0,7,-15,7,-12,-64,0,10,-13,10,-10,-64,0,5,-11,5,-8,-64,0,9,-10,9,-7,7,-3,7,2,9,6,-64,0,10,-10,12,-6,13,-5,10,-1,11,2,14,6,11,10,12,12,16,11,-64,0,9,-9,6,-6,3,-4,3,-4,-64,0,2,-6,3,-2,-64,0,11,-8,8,-4,-64,0,9,-7,11,-3,-64,0,11,-3,7,1,-64,0,7,-3,10,1,9,5,-64,0,9,2,13,5,-64,0,13,6,5,8,-64,0,4,7,5,10,6,10,-64,-64,,,,,,"
369,虤,8664,88,11,"88,-64,0,-2,-16,-2,-11,5,-9,5,-7,-64,0,-2,-15,4,-12,4,-15,-64,0,1,-14,1,-10,1,-2,4,-1,4,4,-64,0,1,-7,4,-6,-64,0,-1,-9,-1,0,1,2,1,6,-64,0,-2,3,1,4,-64,0,-3,3,-3,5,4,8,4,11,-64,0,4,8,-3,11,-64,0,-3,9,-3,12,-64,0,0,7,0,10,-64,0,1,9,4,11,-64,-64,,,,,,"
370,皿,76BF,54,5,"54,-64,0,-3,-12,-1,-9,-2,-1,-3,1,2,5,6,4,9,1,7,-6,8,-12,10,-9,8,-5,7,-5,-64,0,-3,-12,-4,-8,-2,-5,-64,0,0,3,-2,8,-64,0,7,3,8,8,-64,0,-4,8,10,8,-64,-64,,,,,,"
371,盂,76C2,54,7,"54,-64,0,-3,-10,6,-15,-64,0,0,-7,6,-11,-64,0,2,-13,3,-6,2,0,-64,0,-4,-7,-4,1,2,5,6,1,7,-8,-64,0,0,4,-2,10,-2,10,-64,0,4,3,5,10,-64,0,-6,11,9,10,-64,-64,,,,,,"
